,source,sourceConceptType,target,targetConceptType,semantics,edge,id
19,I,entity,part,abstract concept,"The speaker realizes that they are 'part of this whole larger thing', suggesting a sense of belonging and connection to a broader context or family lineage.",Realizes belonging to,5018711b-4aa9-4b70-90b7-40f96210c08a
20,part,abstract concept,thing,entity,"The concept of 'part' is connected to 'thing' in the context of being a component of a larger whole or system, similar to the speaker's relationship with their family lineage.",Component of,2590a443-f9d2-4fa2-adea-0fcc66b25f18
21,thing,entity,parents,entity,"The 'thing' refers to the family lineage or generational connection, specifically mentioning 'parents' as a key part of this larger familial structure.",Related to,9cb3deda-6e7f-4450-ae3f-458906d184b4
22,parents,entity,parents' parents,entity,"The 'parents' are further extended to 'parents' parents', indicating a multi-generational link and emphasizing the continuity of family ties across generations.",Multi-generational link to,031728f0-898d-45ff-93d9-632630b68c7c
23,I,entity,life,abstract concept,"The pronoun 'I' refers to the speaker who was living their 'life' with a sense of knowing everything before a transformative experience occurred, indicating a shift in perspective and awareness.",Experiences life as,f2c15ff9-094d-4deb-88ec-506df77bd0c8
24,life,abstract concept,knowledge,abstract concept,"The concept of 'knowing everything' is associated with the speaker's previous perception of their 'life', suggesting a sense of confidence or certainty prior to a change in understanding.",Associated with,3499b3b3-2821-452d-9d27-e0ed807017b2
25,bright light,entity,I,entity,"The 'bright light' is described as impacting the speaker directly, leading to a realization or awakening, symbolizing a moment of clarity or insight in the speaker's experience.",Impacts,44bb2a70-4e66-4008-8178-75f300d31dfd
26,bright light,entity,awakening,event,"The 'bright light' serves as a catalyst for the 'awakening' of the speaker, signifying a transformative event or realization that brings about a new understanding or perspective.",Leads to,89d6172a-e58b-4788-b969-c3c471748e35
27,awakening,event,I,entity,"The 'awakening' experience is attributed to the speaker, suggesting a personal transformation or moment of enlightenment that affects their perception or awareness.",Affects,707884f2-636f-42ae-85bb-e7e3e3c8d945
28,I,entity,life,entity,"The pronoun 'I' refers to the speaker who is reflecting on their own life experiences, indicating a personal perspective on the concept of 'life'.",Reflects on,dcb19449-7a8f-4c81-ab43-263ab0b98a2d
29,I,entity,to live,event,"The verb 'living' describes the actions taken by the speaker in their life, highlighting their daily experiences and routines.",Describes actions in,8ddc1264-05a4-4425-8e74-bf6a37f3d993
30,life,entity,I,entity,"The concept of 'life' is directly associated with the speaker 'I', indicating a personal connection and ownership of one's own life experiences.",Associated with,9a13400c-0f51-4b5c-82ee-c6d13e900500
31,I,entity,knowledge,abstract concept,"The pronoun 'I' reflects on the concept of 'knowing everything', suggesting a sense of confidence or arrogance in one's understanding.",Reflects on,e5853815-e8a6-4ffa-92f5-dc49faf5c130
32,knowledge,abstract concept,I,entity,"The abstract concept of 'knowing everything' is attributed to the speaker 'I', indicating a perception of complete understanding or awareness.",Attributed to,a8ca1c24-327d-4752-b33b-36cb9f05f6c6
33,bright light,entity,I,entity,"The 'bright light' is described as impacting the speaker 'I', symbolizing a moment of realization or awakening in their life.",Impacts,cf8133ff-9b64-4a11-9174-29d5fcbaae6a
34,bright light,entity,to wake up,event,"The 'bright light' is associated with the action of 'waking up', signifying a metaphorical awakening or realization experienced by the speaker.",Associated with,db36d4e4-a02b-426f-98d4-31cf97633988
35,light,entity,you,entity,"The 'light' is metaphorically referring to 'you', indicating a symbolic representation of the person as a source of brightness or positivity.",Metaphorically represents,03f9fe00-a984-4754-a7fc-1c70939c844a
36,light,entity,you,entity,"The 'light' is metaphorically referring to 'you', indicating a symbolic representation of the person as a source of brightness or guidance.",Metaphorically represents,2dfe4975-8984-4ab6-ba26-1ec9b4d1cba0
